,size complexity,time complexity,time taken,result
0,1409,622,0.063856419,24
1,1237,562,0.058663581000000006,25
2,1615,728,0.07379466500000001,21
3,212,87,0.008800917,18
4,166,67,0.006814642,17
5,864,383,0.039519638,19
6,5641,2608,0.266302093,27
7,3441,1594,0.164159459,26
8,245,106,0.010707574000000001,18
9,2317,1054,0.10543368800000001,26
10,2709,1228,0.131149723,26
11,2160,989,0.103853754,24
12,1556,685,0.069625119,24
13,1483,660,0.06753668900000001,24
14,724,313,0.031818467,25
15,67,26,0.002673831,13
16,3088,1401,0.14360206,27
17,523,222,0.024059266000000003,21
18,173,70,0.007432845,19
19,4925,2270,0.23107933300000003,26
20,128,53,0.005286146,18
21,1343,572,0.061326856000000006,22
22,4948,2271,0.23189531200000002,27
23,783,350,0.035437578000000004,19
24,5622,2601,0.263507517,26
25,253,110,0.010980869,20
26,857,376,0.039732872,23
27,836,372,0.038741445,22
28,683,302,0.031030446000000003,21
29,2538,1125,0.11722681500000001,24
30,892,391,0.039969588,24
31,4482,2049,0.210243741,28
32,1144,499,0.051377912000000005,22
33,725,318,0.032707903,19
34,1687,748,0.078507057,25
35,3544,1647,0.169111542,28
36,426,191,0.019176978,20
37,1182,529,0.054073205000000006,23
38,2908,1279,0.13028417,26
39,2091,928,0.098295169,23
40,1576,699,0.071409888,23
41,1127,500,0.05070941700000001,23
42,3408,1571,0.157796174,26
43,236,101,0.011463563000000001,19
44,2870,1315,0.13644430300000002,27
45,615,280,0.029163846,22
46,2247,1010,0.10271260600000001,26
47,2963,1338,0.152705417,26
48,1774,803,0.080968565,24
49,649,290,0.029740629,22
50,376,163,0.016472253000000003,18
51,174,71,0.007314055000000001,15
52,666,289,0.029485909,24
53,1506,671,0.067967185,24
54,715,310,0.033132688,22
55,2698,1211,0.12417571000000001,26
56,1415,632,0.065270065,26
57,158,67,0.006626320000000001,21
58,550,231,0.024080602000000003,21
59,1079,492,0.05233198,22
60,2922,1343,0.13646801,25
61,708,301,0.032764381,24
62,1628,743,0.075055227,24
63,1565,692,0.07203503800000001,22
64,554,245,0.024928588,18
65,622,257,0.027463584000000003,24
66,865,370,0.038394023,21
67,997,442,0.044772361000000004,19
68,2746,1233,0.12414175000000001,27
69,3030,1357,0.138368174,24
70,87,32,0.0034750370000000003,13
71,1391,616,0.06300918400000001,25
72,870,377,0.038422625,21
73,2837,1272,0.129484143,25
74,283,120,0.012173771,16
75,734,327,0.034446636,25
76,263,106,0.010994861,19
77,4979,2238,0.23539991400000002,26
78,3389,1556,0.159780268,24
79,544,245,0.024525249000000002,18
80,363,158,0.015842551,20
81,637,282,0.029972165000000002,18
82,886,405,0.040322087,25
83,1424,635,0.06492099800000001,24
84,169,72,0.0072895270000000005,15
85,1550,697,0.07644579600000001,24
86,1627,726,0.07516080800000001,21
87,2861,1264,0.127970433,28
88,287,120,0.013309143,19
89,850,367,0.037717690000000005,22
90,741,318,0.032309806,20
91,5374,2442,0.26456624,27
92,1151,514,0.055217208000000004,24
93,750,335,0.033408067,23
94,1079,486,0.050583760000000005,21
95,868,375,0.038293106,25
96,400,163,0.017014844,21
97,726,315,0.032586608,23
98,1529,694,0.070029587,24
99,346,151,0.015282388000000001,19
