,size complexity,time complexity,time taken,result
0,2525,1132,0.100901766,24
1,2133,940,0.09034154300000001,25
2,692,289,0.024320565000000002,21
3,239,100,0.008197116,18
4,336,143,0.011596074000000001,17
5,1315,580,0.05975285600000001,19
6,4763,2164,0.187868843,25
7,2420,1093,0.102883654,24
8,357,154,0.012792585,18
9,4259,1950,0.16142161000000002,26
10,1778,785,0.079707683,24
11,1607,726,0.060274184,24
12,2693,1210,0.099638365,24
13,1682,743,0.060662329,24
14,1270,551,0.045451877,25
15,67,26,0.0021320560000000002,13
16,3375,1506,0.124566218,27
17,438,185,0.015239881,21
18,201,82,0.007411855,19
19,2907,1297,0.108046349,26
20,193,78,0.006353869000000001,18
21,806,345,0.028221264000000003,22
22,8541,3968,0.335259527,27
23,851,368,0.031065492000000004,19
24,1716,757,0.062366071,24
25,510,215,0.017685470000000002,20
26,1662,739,0.060420392,23
27,1580,701,0.059393231000000005,22
28,748,321,0.027528504000000002,21
29,6129,2846,0.236689528,24
30,326,143,0.011455888000000001,22
31,1430,649,0.052947730000000005,26
32,891,384,0.031345293,22
33,851,368,0.030472219000000002,19
34,919,402,0.033201508000000005,25
35,6435,2940,0.25621442,28
36,447,196,0.015836583,20
37,1565,702,0.057168608,23
38,3547,1602,0.132519213,26
39,3033,1362,0.12508070000000002,23
40,1641,724,0.060568420000000005,23
41,1745,762,0.065578574,23
42,4774,2157,0.19175639300000002,26
43,349,142,0.011687011,19
44,6046,2789,0.24557953100000002,27
45,1145,502,0.040925089000000005,22
46,3288,1499,0.128174754,26
47,3158,1393,0.115888318,26
48,3037,1370,0.114001104,24
49,1263,566,0.048602730000000004,22
50,271,118,0.009634421,18
51,191,78,0.006388970000000001,15
52,784,343,0.02771488,24
53,2374,1051,0.086971712,24
54,1500,677,0.057246779000000005,22
55,1721,766,0.063489434,24
56,2690,1217,0.100387054,26
57,209,94,0.0076436740000000005,21
58,867,376,0.030902790000000003,21
59,1398,619,0.059697758000000004,22
60,3070,1377,0.11368212600000001,25
61,1563,674,0.055713335,24
62,3001,1356,0.114327353,24
63,1586,703,0.058682903,22
64,582,243,0.020276138000000003,18
65,699,294,0.024326711,24
66,892,397,0.033677674000000005,21
67,687,294,0.024099094,19
68,1203,546,0.05619678,25
69,7227,3406,0.29082913200000005,24
70,109,44,0.004237928,13
71,3284,1495,0.12552380700000002,25
72,851,366,0.030168569000000003,21
73,5651,2580,0.21426454,25
74,196,79,0.006488794,16
75,1671,758,0.061450812,25
76,357,146,0.012807443,19
77,3661,1662,0.137790836,24
78,5256,2399,0.19967009700000002,24
79,708,313,0.025436736,18
80,553,238,0.019382136,20
81,749,332,0.02693583,18
82,1617,706,0.061896822000000004,25
83,1789,814,0.068587914,24
84,196,83,0.006790364,15
85,4020,1855,0.165109006,24
86,1697,748,0.061462667000000006,21
87,1825,814,0.070271174,26
88,342,139,0.011356349,19
89,433,176,0.016217755,20
90,1362,597,0.04913855,22
91,7220,3337,0.276131458,27
92,1351,600,0.049124036,24
93,1026,455,0.037658251000000004,23
94,1262,557,0.047652657,21
95,615,264,0.021758701000000002,23
96,571,246,0.020290244000000002,21
97,845,370,0.030082397,23
98,2378,1073,0.08803093000000001,24
99,670,295,0.024134923000000003,19
