,size complexity,time complexity,time taken,result
0,40680,19421,1.5371068540000001,24
1,53647,25766,2.045931408,25
2,11394,4881,0.37509045,21
3,2692,1109,0.08373325100000001,18
4,2094,875,0.065313222,17
5,6451,2690,0.20490128700000002,19
6,54231,26084,2.073010692,25
7,37362,17791,1.3927951840000001,24
8,1357,552,0.041713594,16
9,71084,36827,2.914440271,26
10,61877,30158,2.402578831,26
11,35538,16899,1.327549428,24
12,29223,13146,1.0405935080000002,24
13,34383,16326,1.307009557,24
14,47311,22256,1.798889262,25
15,352,133,0.01004493,13
16,95552,50931,4.115920856000001,27
17,11897,5050,0.389675196,21
18,5045,2098,0.16535127100000002,19
19,59671,28706,2.3252075160000003,26
20,2495,1062,0.07895882500000001,18
21,15061,6430,0.513764318,22
22,83121,42894,3.4770528830000003,27
23,6167,2582,0.197562815,19
24,37238,17543,1.377505828,24
25,6337,2630,0.22005934600000002,20
26,30128,13699,1.0951078060000001,23
27,13676,5793,0.46286124900000003,22
28,12085,5132,0.39653190400000005,21
29,42644,20541,1.6192181780000001,24
30,16272,7177,0.566048793,22
31,100392,53563,4.290161256,28
32,14765,6308,0.5038559490000001,22
33,5392,2277,0.17508859100000002,19
34,52740,24693,1.9622274320000002,25
35,104703,56696,4.559793576000001,28
36,7891,3312,0.251005894,20
37,25593,11332,0.893096659,23
38,73414,38729,3.048361104,26
39,51118,24433,1.947461096,25
40,22876,10249,0.8247655030000001,23
41,12799,5530,0.42939145300000003,21
42,80320,43247,3.4142780960000003,26
43,11277,4864,0.373180334,21
44,93556,49295,3.955751438,27
45,17213,7552,0.5778086680000001,22
46,60278,29111,2.349793918,26
47,61853,30158,2.39594479,26
48,21241,9576,0.746107527,22
49,14304,6113,0.47221470600000004,22
50,2439,1016,0.07631924200000001,18
51,794,329,0.024435723000000003,15
52,36096,16887,1.33159213,24
53,34272,16213,1.2655998940000002,24
54,13852,5845,0.466732815,22
55,38056,17819,1.421451092,24
56,67316,34241,2.7266197240000003,26
57,9834,4277,0.33103358600000005,21
58,8942,3743,0.289178928,21
59,13327,5684,0.488343511,22
60,51746,24501,1.945619508,25
61,28578,12665,1.0182248900000002,24
62,41095,19638,1.5467766040000002,24
63,16960,7575,0.596849103,22
64,3920,1645,0.12507427100000001,18
65,33074,15475,1.229145146,24
66,11185,4758,0.369162529,21
67,5162,2195,0.16471687000000002,19
68,52751,24952,1.988889193,25
69,16385,7228,0.566554694,22
70,436,165,0.013156766,13
71,53931,25910,2.06241756,25
72,13080,5583,0.444310527,21
73,51261,24618,1.9694997230000002,25
74,1272,521,0.038775706,16
75,56863,28060,2.2527033800000003,25
76,5290,2227,0.17213383100000001,19
77,82345,44302,3.542364125,26
78,36618,17233,1.3631333250000002,24
79,3237,1322,0.116200987,18
80,5635,2370,0.179615894,20
81,3307,1360,0.10216082800000001,18
82,50624,23861,1.914660314,25
83,29680,13329,1.049483154,24
84,793,320,0.023772477,15
85,13659,5814,0.45683589500000005,22
86,12204,5269,0.42566134600000005,21
87,56270,26747,2.144675275,26
88,4294,1843,0.14220069300000002,19
89,5886,2447,0.203881105,20
90,7718,3283,0.25101186000000003,20
91,97350,52229,4.228347616000001,27
92,37735,17566,1.386748874,24
93,28175,12758,0.999038854,23
94,13347,5682,0.463158909,21
95,22246,9867,0.772312933,23
96,24793,10948,0.8686862630000001,23
97,24999,11052,0.873084454,23
98,28419,12716,1.006260103,24
99,4471,1890,0.143814395,19
