,size complexity,time complexity,time taken,result
0,175762,138708,10.27805287,24
1,183147,154026,11.281824252,25
2,114276,70533,5.273759655,21
3,39934,19675,1.4301192070000002,18
4,34074,17129,1.2718210440000002,17
5,61390,32337,2.391317678,19
6,183147,153582,11.269731946,25
7,170282,129368,9.562582826,24
8,27684,14249,1.0201583,16
9,185531,158696,11.710504079000001,26
10,170465,130115,9.605610168,24
11,170587,130497,9.672436498,24
12,170789,131393,9.648974626000001,24
13,164251,116172,8.701250412,24
14,181330,145080,10.759730014,25
15,6719,3154,0.22249526100000003,13
16,185932,172428,12.645815768,27
17,117138,75211,5.535188496,21
18,61741,32633,2.4030565480000003,19
19,185593,168838,12.426077429000001,26
20,43921,22336,1.6362739270000002,18
21,121027,73047,5.5058997640000005,22
22,185938,172128,12.611152954000001,27
23,62853,33410,2.500902762,19
24,170464,130086,9.584597459000001,24
25,72883,38480,2.8555654280000002,20
26,151066,101040,7.550721961000001,23
27,127077,79197,5.89741947,22
28,118229,78121,5.753531515000001,21
29,175343,137218,10.166188138,24
30,134716,90680,6.650552147000001,22
31,185650,167283,12.183075154,26
32,121337,73204,5.511624111000001,22
33,57310,29435,2.151284048,19
34,183133,155382,11.532319300000001,25
35,185650,177652,13.061571275,28
36,81804,45501,3.398784064,20
37,158749,115203,8.561923769,23
38,186351,173117,12.582319688,26
39,160283,123858,9.065538103,23
40,155195,106805,8.004748292,23
41,103963,59916,4.454616183000001,21
42,185966,162444,12.056055870000002,26
43,61243,32232,2.377543498,19
44,185932,171452,12.59486094,27
45,126148,77989,5.799151344,22
46,185531,167378,12.230782526,26
47,184981,156275,11.504555503,26
48,145107,103440,7.616314662000001,22
49,135241,92213,6.7571247350000005,22
50,44053,22336,1.6341425040000002,18
51,13986,6459,0.459780978,15
52,171346,137130,10.029402191,24
53,169671,127034,9.315491101000001,24
54,133665,88221,6.53989624,22
55,171402,138262,10.131317499000001,24
56,185684,169833,12.36626148,26
57,118320,78181,5.722629848,21
58,117705,77013,5.669215526,21
59,131505,84123,6.273616631,22
60,183238,155192,11.347291007,25
61,168178,123583,9.151338983,24
62,171028,126505,9.447144155,24
63,121562,73466,5.427217902000001,22
64,42657,21604,1.5756210750000001,18
65,171367,137579,10.120962036,24
66,110342,65925,4.910882557,21
67,61271,32256,2.392184035,19
68,183110,155134,11.382907325000001,25
69,144851,102583,7.534639381000001,22
70,5794,2557,0.18161358000000002,13
71,183133,159689,11.638276252,25
72,115993,72992,5.411708958,21
73,183238,159062,11.642887107,25
74,18537,8694,0.62127212,16
75,183133,151449,11.113529932,25
76,70795,40599,2.954800981,19
77,176396,142474,10.432852067,24
78,176516,144488,10.637311417000001,24
79,41945,20960,1.522017132,18
80,88581,54266,4.00088895,20
81,53803,29217,2.132429256,18
82,180231,142467,10.541005776,25
83,171291,136348,10.002982066000001,24
84,12659,5642,0.410909366,15
85,134185,88892,6.5771905870000005,22
86,103752,59761,4.508914013,21
87,185593,161734,11.862364802,26
88,65893,35942,2.6445679010000003,19
89,83771,47606,3.5409249820000004,20
90,88344,54041,3.982152993,20
91,185932,177832,12.999603105,27
92,165018,117271,8.693109984000001,24
93,160016,121030,8.8838252,23
94,118494,78627,5.7519192530000005,21
95,158429,114164,8.509639036000001,23
96,116949,75143,5.484865384,21
97,157759,112370,8.369488222000001,23
98,171117,134910,9.873531185000001,24
99,70059,39566,2.906718461,19
