,size complexity,time complexity,time taken,result
0,231,131,0.014405479,48
1,223,131,0.014212772,57
2,244,138,0.014823949000000001,51
3,85,48,0.005130147000000001,28
4,267,154,0.01649875,49
5,106,61,0.006408099,33
6,213,124,0.012797325,49
7,214,126,0.013429650000000001,44
8,71,39,0.0042601,24
9,102,59,0.005886992000000001,38
10,122,71,0.007269184000000001,38
11,223,132,0.026125573000000003,46
12,148,85,0.009080118,48
13,276,156,0.017042002,52
14,208,119,0.012738887,57
15,28,14,0.001535143,13
16,80,46,0.004721284,27
17,79,44,0.004639299,29
18,76,44,0.004513303000000001,29
19,223,132,0.013541712000000001,52
20,95,53,0.006078943000000001,34
21,247,145,0.015207738,40
22,176,102,0.010944472,49
23,111,64,0.006900405,21
24,254,151,0.015606411,54
25,136,77,0.008016057,42
26,185,103,0.011105657000000001,43
27,72,42,0.004401671,24
28,126,73,0.007863413,37
29,167,93,0.010367542,32
30,244,142,0.014484744,68
31,479,279,0.030103683000000003,90
32,284,168,0.018394578,44
33,181,102,0.011398617000000002,47
34,110,62,0.006718422000000001,33
35,202,115,0.012695033000000001,44
36,79,44,0.004844989,20
37,156,89,0.009453721,41
38,408,238,0.025659225,84
39,127,75,0.007670341000000001,35
40,154,86,0.009167723000000001,31
41,97,54,0.005695207000000001,31
42,175,98,0.010956919,32
43,68,38,0.00399033,21
44,136,75,0.00796782,37
45,179,107,0.011024365000000001,46
46,154,91,0.009337581000000001,40
47,142,81,0.008831588000000001,44
48,89,51,0.005491829,32
49,146,82,0.010181579000000001,44
50,209,124,0.013372799000000001,36
51,85,48,0.005268736,25
52,194,117,0.012095521000000001,46
53,380,223,0.023384052000000002,66
54,86,49,0.005345995,32
55,178,103,0.011114646,54
56,249,146,0.015867056,56
57,186,104,0.011139912,43
58,152,85,0.009338892000000001,45
59,227,127,0.013493981,54
60,261,153,0.016398685,49
61,180,103,0.011049814000000002,42
62,274,161,0.016707265000000002,66
63,77,43,0.0044855070000000006,28
64,123,68,0.0075670550000000005,32
65,215,126,0.013218734000000001,60
66,266,150,0.016175316000000002,59
67,169,98,0.010777636,33
68,244,140,0.015012704000000002,69
69,260,154,0.01645539,58
70,114,66,0.007064745000000001,27
71,225,131,0.013722572,61
72,89,51,0.005285087,31
73,158,93,0.009811824,53
74,84,48,0.004965762,20
75,194,117,0.012417843000000001,57
76,198,114,0.012602595000000001,37
77,142,82,0.008736559000000001,44
78,221,124,0.013629373,34
79,57,32,0.0034013370000000004,20
80,149,87,0.009331503000000001,36
81,61,34,0.0036019240000000003,22
82,199,111,0.011901547,59
83,138,77,0.008026112,46
84,63,35,0.003604257,15
85,211,122,0.012800063,46
86,123,71,0.0073990160000000004,21
87,163,94,0.009655497,46
88,128,74,0.007737531000000001,27
89,111,62,0.006844272,36
90,128,75,0.008551851000000001,40
91,124,70,0.008258146000000001,39
92,95,56,0.005710702000000001,32
93,235,136,0.014637516000000001,63
94,84,47,0.005306107,27
95,219,124,0.013306749000000001,53
96,83,47,0.005176653000000001,21
97,368,213,0.023965612,75
98,134,77,0.008360746,38
99,115,64,0.007117574000000001,35
