,size complexity,time complexity,time taken,result
0,612,371,0.033199944,90
1,318,193,0.015856469,37
2,377,231,0.019462214000000002,51
3,304,186,0.015033995000000001,28
4,278,174,0.014063357,31
5,347,212,0.017295792,29
6,363,223,0.017955489,63
7,360,224,0.017794696000000002,62
8,724,444,0.037331678,100
9,808,498,0.041944738,52
10,528,325,0.026064568000000003,62
11,567,338,0.027473319000000003,94
12,306,187,0.015299407000000001,58
13,510,312,0.025757597,62
14,653,407,0.033809978000000004,75
15,28,14,0.00119264,13
16,401,243,0.019699265,67
17,325,199,0.015840244,31
18,361,220,0.017779449000000003,51
19,355,217,0.017594733,38
20,368,222,0.018109555,26
21,316,198,0.016968673,44
22,129,74,0.006228665,37
23,246,154,0.012425405,29
24,937,564,0.047405693000000006,106
25,616,380,0.030847591,56
26,327,204,0.016578073000000002,61
27,340,207,0.017027227000000002,44
28,346,213,0.017549101,61
29,362,219,0.018548738000000002,54
30,471,281,0.024039755000000003,70
31,548,341,0.027454792000000002,66
32,271,168,0.013705138,36
33,368,223,0.018929076,37
34,331,207,0.017352508000000003,51
35,378,233,0.020114102000000002,68
36,284,175,0.014650050000000001,50
37,341,208,0.017102850000000003,51
38,584,353,0.02926002,58
39,344,212,0.017382703,49
40,298,186,0.014948708000000002,35
41,253,161,0.013129068,37
42,599,353,0.029627032,88
43,272,171,0.014271530000000001,47
44,351,219,0.017517317,67
45,832,510,0.041731266,62
46,332,208,0.016722211,52
47,341,207,0.018025736,64
48,568,344,0.029373404000000002,56
49,548,336,0.028071392,54
50,293,180,0.015401850000000002,42
51,260,163,0.013462961,27
52,455,271,0.022943444,62
53,347,211,0.01719012,40
54,327,201,0.016416852000000003,44
55,377,230,0.020229199,50
56,110,65,0.005538411,38
57,672,415,0.045957677,87
58,319,195,0.015962935,45
59,593,365,0.030613622000000004,54
60,626,384,0.031016675,67
61,546,342,0.027899488,46
62,580,362,0.029944413000000003,50
63,378,232,0.018669183000000002,46
64,258,161,0.012569346,38
65,377,230,0.018616626,64
66,619,368,0.030903795,65
67,263,164,0.013189635000000002,49
68,605,370,0.031186755000000004,71
69,449,267,0.022519085,58
70,231,148,0.011979370000000001,37
71,362,222,0.018068547,55
72,651,401,0.033201554,75
73,542,322,0.026975930000000002,77
74,262,165,0.013105180000000001,46
75,345,214,0.017533778,57
76,298,185,0.015477464000000002,47
77,331,207,0.017063379,48
78,577,347,0.029528809000000003,68
79,246,156,0.012547843000000001,32
80,242,154,0.012733424,32
81,787,479,0.040133029,64
82,324,199,0.016253459,51
83,621,385,0.031203175000000003,62
84,294,181,0.014484053,37
85,845,510,0.041946608,104
86,614,381,0.030616754000000003,45
87,420,254,0.020492695000000002,66
88,300,186,0.015985182,49
89,571,347,0.02833226,54
90,790,484,0.041252371,90
91,394,241,0.019914681,41
92,643,398,0.032916763,76
93,392,237,0.019851451000000003,53
94,343,208,0.017363268,21
95,569,353,0.028790040000000003,55
96,406,246,0.020250507,21
97,288,181,0.014919358,43
98,535,325,0.029365898,48
99,242,154,0.0127892,29
