,size complexity,time complexity,time taken,result
0,25,3294,0.179503916,24
1,26,877,0.046475969000000006,25
2,22,876,0.043730343000000005,21
3,19,240,0.011775773000000002,18
4,18,321,0.015044692,17
5,20,1165,0.057532124000000004,19
6,26,10186,0.526280384,25
7,25,5366,0.267157676,24
8,17,174,0.008408525,16
9,27,2322,0.116493969,26
10,25,2042,0.105215267,24
11,25,1760,0.08665122800000001,24
12,25,4335,0.216845264,24
13,25,2438,0.12138954800000001,24
14,26,1737,0.089208692,25
15,14,24,0.0011295460000000002,13
16,28,5022,0.260727139,27
17,22,311,0.014965196000000002,21
18,20,38,0.0020118230000000003,19
19,27,4371,0.23012599700000003,26
20,19,79,0.0040165900000000004,18
21,23,810,0.039956842,22
22,28,7811,0.40648037400000003,27
23,20,1104,0.053363618,19
24,25,1991,0.09934409400000001,24
25,21,163,0.007918658,20
26,24,2028,0.104569851,23
27,23,1693,0.088172889,22
28,22,1083,0.053230584000000004,21
29,25,10563,0.531512199,24
30,23,91,0.0045075010000000006,22
31,27,2665,0.136853243,26
32,23,1703,0.086396042,22
33,20,1944,0.09353396500000001,19
34,26,1142,0.057116776,25
35,29,7750,0.39824882300000003,28
36,21,479,0.023562907,20
37,24,1849,0.09518007,23
38,27,7331,0.37518807600000004,26
39,24,4011,0.206142669,23
40,24,2638,0.133663584,23
41,22,963,0.049065736000000006,21
42,27,5707,0.290811721,26
43,20,217,0.010557356,19
44,28,6250,0.32803997300000004,27
45,23,1088,0.053452705,22
46,27,5878,0.302586943,26
47,27,2516,0.12924098,26
48,23,2190,0.107161421,22
49,23,1247,0.062293919,22
50,19,263,0.013059306000000001,18
51,16,150,0.007579703,15
52,25,274,0.014033227,24
53,25,3881,0.19754543600000002,24
54,23,1227,0.06164805500000001,22
55,25,1330,0.06644406900000001,24
56,27,2955,0.15321511100000001,26
57,22,52,0.0027798970000000004,21
58,22,1405,0.070021448,21
59,23,1915,0.095074026,22
60,26,3060,0.154652902,25
61,25,1084,0.056182714,24
62,25,4187,0.209117241,24
63,23,4008,0.199873196,22
64,19,694,0.033189586,18
65,25,289,0.014462838,24
66,22,1191,0.0584452,21
67,20,906,0.045977792,19
68,26,671,0.033667557,25
69,23,4083,0.20379529500000002,22
70,14,36,0.001793623,13
71,26,3816,0.19311856300000002,25
72,22,1321,0.065727726,21
73,26,6757,0.336260904,25
74,17,102,0.004982268000000001,16
75,26,757,0.037913336000000006,25
76,20,235,0.011222874,19
77,25,5504,0.275305272,24
78,25,7010,0.348418909,24
79,19,1066,0.054033533,18
80,21,679,0.033141578000000005,20
81,19,1251,0.060263534,18
82,26,1603,0.07966648600000001,25
83,25,3596,0.17879987900000002,24
84,16,150,0.007099734000000001,15
85,23,1860,0.09326893600000001,22
86,22,1881,0.094274034,21
87,27,821,0.041526895,26
88,20,344,0.01675915,19
89,21,514,0.025017869,20
90,21,583,0.028244401000000002,20
91,28,10609,0.542665819,27
92,25,1056,0.052174251000000005,24
93,24,404,0.019990108000000003,23
94,22,1553,0.07545908200000001,21
95,24,61,0.003202823,23
96,22,458,0.022320284000000003,21
97,24,1244,0.06338350100000001,23
98,25,3057,0.15267632,24
99,20,696,0.03470742,19
